name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
Pottplants Anthurium Plant  (Pack of 1),499.00, ₹199.00 ,60%,Medium,No Returns Allowed?,Foliage,Perennial,Indoor,No,1.00,No,Pottplants
"greenhousestore Ficus Bonsai Plant  (Hybrid, Pack of 1)",599.00, ₹130.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Roy's Fashoin Brahma Kamal Plant  (Hybrid, Pack of 1)",499.00, ₹249.00 ,50%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Roy's Fashoin
"FURYHUB Tomato Plant  (Hybrid, Pack of 1)",399.00, ₹120.00 ,69%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,FURYHUB
"Global Mart Plant Pomegranate Plant  (Hybrid, Pack of 1)",398.00, ₹124.00 ,68%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Global Mart Plant
"greenhousestore Jackfruit Plant  (Hybrid, Pack of 1)",599.00, ₹120.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Aquinnah Graden White Sandalwood Plant  (Hybrid, Pack of 1)",489.00, ₹125.00 ,74%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,Aquinnah Graden
"Cloud Farm Gummy Gardenia Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Cloud Farm
"FSK Betel Nut/Supari Plant  (Hybrid, Pack of 1)",499.00, ₹121.00 ,75%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,0.50,Yes,FSK
"Cloud Farm Dragon Tree  (Hybrid, Pack of 3)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,Cloud Farm
"AloGardening Dragon Tree  (Hybrid, Pack of 2)",299.00, ₹130.00 ,56%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
Mrplant Jade Plant  (Pack of 1),499.00, ₹128.00 ,74%,Small,No Returns Allowed?,Air purifier plant,Annual,Indoor,No,3.00,No,Mrplant
"pagoda point Crasulla Ovata Plant  (Hybrid, Pack of 1)",405.00, ₹130.00 ,67%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,50.00,Yes,pagoda point
UGAOO Bamboo Palm Plant  (Pack of 1),499.00, ₹279.00 ,44%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,No,1.00,No,UGAOO
"LaughEarth White Sandalwood Plant  (Hybrid, Pack of 1)",499.00, ₹140.00 ,71%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,15.00,Yes,LaughEarth
"Ariya Berry Plant  (Hybrid, Pack of 1)",799.00, ₹126.00 ,84%,Medium,No Returns Allowed?,Fruit,Perennial,Outdoor,No,1.00,Yes,Ariya
"PlantsEarth Hibiscus Plant  (Hybrid, Pack of 1)",422.00, ₹120.00 ,71%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,PlantsEarth
"Bijaya Online Store Areca Palm  (Hybrid, Pack of 3)",449.00, ₹179.00 ,60%,Small,No Returns Allowed?,Air purifier plant,Perennial,Both,No,0.80,Yes,Bijaya Online Store
"ibains Mini Brazalian wood  (Hybrid, Pack of 44)",399.00, ₹186.00 ,53%,Medium,No Returns Allowed?,Bonsai,Perennial,Indoor,Yes,1.00,Yes,ibains
"AloGardening Guava Plant  (Hybrid, Pack of 1)",399.00, ₹185.00 ,53%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
"AloGardening Dragon Tree  (Hybrid, Pack of 6)",399.00, ₹160.00 ,59%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,AloGardening
"Ukanda Hibiscus Plant  (Hybrid, Pack of 1)",399.00, ₹119.00 ,70%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,0.50,Yes,Ukanda
"AloGardening Ber Apple Plant  (Hybrid, Pack of 1)",235.00, ₹139.00 ,40%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,0.20,Yes,AloGardening
"EVY Shami/Jand Plant  (Hybrid, Pack of 1)",299.00, ₹118.00 ,60%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,Yes,EVY
"greenhousestore Hibiscus Plant  (Hybrid, Pack of 1)",599.00, ₹149.00 ,75%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"GreenHorizon Rudraksha Plant  (Hybrid, Pack of 1)",663.00, ₹118.00 ,82%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,0.30,Yes,GreenHorizon
"Corofitam Jamun Plant  (Hybrid, Pack of 1)",399.00, ₹123.00 ,69%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,Corofitam
"Ukanda Bay Leaf Plant  (Hybrid, Pack of 1)",349.00, ₹126.00 ,63%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,0.50,Yes,Ukanda
"Gabbro Two Layer Bamboo Plant  (Hybrid, Pack of 2)",999.00, ₹499.00 ,50%,Small,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,4.00,Yes,Gabbro
"Cloud Farm Tuberose/Rajnigandha Plant  (Hybrid, Pack of 1)",499.00, ₹121.00 ,75%,Medium,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Augadh Orange Plant  (Hybrid, Pack of 1)",299.00, ₹115.00 ,61%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Augadh
